exp,napps,n_fam,cores,mem_mul,perf,frac_gap,add_ccs,Conlloovia_vars,Conlloovia_status,Conlloovia_lower_bound_d_h,All_lower_bound_d_h_0.5,Conlloovia_cost_d_h,FFC_cost_d_h,FFP_cost_d_h,Fcma_1_0.5_cost_d_h,Conlloovia_creation_time_s,Conlloovia_solving_time_s,FFC_creation_time_s,FFC_solving_time_s,FFP_creation_time_s,FFP_solving_time_s,Fcma_1_0.5_pre_alloc_time_s,Fcma_1_0.5_alloc_time_s,Conlloovia_fault_tolerance_m_e_0.5,FFC_fault_tolerance_m_e_0.5,FFP_fault_tolerance_m_e_0.5,Fcma_1_0.5_fault_tolerance_m,Conlloovia_isolation_m,FFC_isolation_m,FFP_isolation_m,Fcma_1_0.5_isolation_m,Conlloovia_vm_recycling_m,FFC_vm_recycling_m,FFP_vm_recycling_m,Fcma_1_0.5_vm_recycling_m,Conlloovia_vm_load_balance_m,FFC_vm_load_balance_m,FFP_vm_load_balance_m,Fcma_1_0.5_vm_load_balance_m
22,2,1,3.0,8,0.02,0.02,False,15025,INTEGER_FEASIBLE,166.71451,166.71451,180.32599999999996,220.67999999999992,267.9279999999986,175.99199999999993,0.9862,601.9391,0.0011,0.1729,0.0012,1.1781,0.0299,0.4752,1.0,1.0,1.0,1.0,0.2413696918161204,0.05857389251997095,1.0,0.11327160493827165,0.0,0.0,0.0,1.0,0.017857142857142856,0.033888888888888885,0.0035913852649937465,0.05929487179487179
23,2,1,3.0,8,0.4,0.02,False,270,OPTIMAL,5.136,5.136,5.136,6.767999999999999,8.56,5.136,0.0182,0.5939,0.0010,0.0079,0.0010,0.0237,0.0219,0.0308,0.0,0.0,1.0,0.0,0.1111111111111111,0.1,1.0,0.16666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,0.23809523809523808,1.0
24,2,4,0.12,2,0.02,0.02,False,15579,INTEGER_FEASIBLE,0.701,0.733,0.733,1.76192,15.47600000000006,0.84312,0.9416,601.6553,0.0069,0.0357,0.0068,0.6339,0.3860,0.0356,0.0,0.0,1.0,0.0,0.36086956521739133,0.02127659574468085,0.0888759563287865,0.2888888888888889,0.0,1.0,0.0,1.0,0.25,1.0,0.0047169811320754715,0.41666666666666663
25,2,4,0.12,2,0.4,0.02,False,2349,OPTIMAL,0.1824,0.1824,0.1824,0.88096,0.584,0.1824,0.1437,0.6006,0.0069,0.0366,0.0064,0.0355,0.0884,0.0058,0.0,0.0,1.0,0.0,0.125,0.017857142857142856,0.14955357142857142,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.125,1.0
26,2,4,0.12,8,0.02,0.02,False,22734,INTEGER_FEASIBLE,0.327,0.4062,0.4062,38.89152,7.154000000000015,0.4062,1.3519,601.6432,0.0072,0.2816,0.0065,0.1353,0.0712,0.0146,0.0,0.0,1.0,0.0,0.3125,0.0028532298830306235,0.3350340136054421,0.37499999999999994,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.018259935553168634,0.5
27,2,4,0.12,8,0.4,0.02,False,2934,OPTIMAL,0.073,0.073,0.073,0.1292,0.146,0.073,0.1784,0.2629,0.0071,0.0250,0.0064,0.0229,0.0631,0.0068,0.0,0.0,0.0,0.0,0.25,0.25,0.29166666666666663,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0
28,2,4,3.0,2,0.02,0.02,False,58090,INTEGER_FEASIBLE,23.472,24.078400000000002,24.370400000000004,318.90752,35.04000000000009,24.808000000000003,3.8242,604.7585,0.0049,0.1857,0.0045,0.0983,0.0883,0.0425,0.5,1.0,1.0,0.5,0.37410714285714286,0.07096774193548387,1.0,0.3517006802721089,0.0,0.0,0.0,0.9,0.125,0.060714285714285714,0.008333333333333333,0.35
29,2,4,3.0,2,0.4,0.02,False,4200,OPTIMAL,1.61056,1.61056,1.61056,3.52384,11.387999999999995,1.61056,0.2651,1.2072,0.0050,0.0221,0.0046,0.0391,0.0552,0.0052,0.0,0.0,1.0,0.0,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.03367003367003367,1.0
30,2,4,3.0,8,0.02,0.02,False,30275,OPTIMAL,7.4256,7.4256,7.4256,217.58208,220.86559999999756,7.9016,1.9745,113.7419,0.0048,0.1012,0.0045,1.2516,0.0896,0.0797,0.0,1.0,1.0,0.5,0.44696969696969696,0.04872446817526909,0.995253164556962,0.7066666666666667,0.3,0.0,0.0,0.5,0.3333333333333333,0.08116883116883117,0.07222857142857142,0.375
31,2,4,3.0,8,0.4,0.02,False,2290,OPTIMAL,1.284,1.284,1.284,31.008000000000003,3.439999999999999,1.284,0.1471,0.4296,0.0047,0.0350,0.0046,0.0343,0.0670,0.0421,0.0,0.5,1.0,0.0,1.0,0.075,1.0,1.0,1.0,0.8,0.0,1.0,0.5,0.41666666666666663,0.23809523809523808,1.0
32,5,1,0.12,2,0.02,0.02,False,25074,OPTIMAL,17.649,17.664,17.664,18.432000000000002,18.240000000000013,17.76,1.4492,8.5597,0.0020,0.3697,0.0021,0.4496,0.0443,0.0400,0.4,0.0,1.0,1.0,0.01052967804572549,0.0024056665361013186,0.11573725981620718,0.2124085684430512,0.2608695652173913,1.0,0.0,0.8054054054054054,0.14285714285714285,0.31666666666666665,0.005263157894736842,0.30666666666666664
33,5,1,0.12,2,0.4,0.02,False,2709,OPTIMAL,0.38060587,0.384,0.384,0.384,0.384,0.384,0.1571,3.4306,0.0020,0.0169,0.0020,0.0161,0.0423,0.0139,0.0,0.0,0.2,0.0,0.0625,0.034482758620689655,0.13839285714285715,0.09090909090909091,0.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0
34,5,1,0.12,8,0.02,0.02,False,8232,OPTIMAL,4.632768,4.704000000000001,4.715,6.863999999999999,10.944000000000008,4.704000000000001,0.4839,6.0569,0.0020,0.1086,0.0020,0.2013,0.0431,0.0163,0.8,0.0,0.8,0.0,0.21568054960912103,0.1260752688172043,0.24593079922027292,0.2581967213114754,0.0,0.9795918367346939,0.0,0.9795918367346939,0.07142857142857142,0.5,0.014418659664561304,0.9
35,5,1,0.12,8,0.4,0.02,False,3738,INTEGER_FEASIBLE,1.2607488,1.344,1.344,1.926,2.592000000000001,1.344,0.2179,600.2793,0.0020,0.0286,0.0021,0.0430,0.0417,0.0274,0.2,0.0,0.4,0.4,0.2761904761904762,0.011764705882352941,0.3395061728395061,0.14814814814814814,0.5714285714285714,1.0,0.0,0.5714285714285714,0.2,1.0,0.053294117647058825,0.6333333333333333
36,5,1,3.0,2,0.02,0.02,False,143583,ABORTED,586.077,587.5200000000001,,612.8639999999992,866.3040000000186,612.8639999999992,8.9258,601.7829,0.0017,0.7801,0.0017,1.6230,0.0428,0.5824,,1.0,1.0,1.0,,0.05901333756032422,1.0,0.11136173767752687,,0.0,0.0,1.0,,0.1254698242933537,0.00044326241134751767,0.1258304297328688
37,5,1,3.0,2,0.4,0.02,False,10791,INTEGER_FEASIBLE,44.053,44.544000000000004,45.504000000000005,46.08000000000001,68.73600000000005,44.736,0.6399,600.8203,0.0019,0.0689,0.0018,0.1415,0.0511,0.0916,0.8,0.4,0.8,0.8,0.13405708874458874,0.05555555555555556,1.0,0.2123015873015873,0.0,0.0,0.00558659217877095,0.9785407725321889,0.0625,0.21222222222222223,0.005580384854127872,0.3805555555555556
38,5,1,3.0,8,0.02,0.02,False,34078,INTEGER_FEASIBLE,153.58084,153.58084,156.79799999999994,205.09199999999996,269.2179999999993,160.42799999999994,2.0924,601.5812,0.0017,0.1840,0.0017,1.7507,0.0384,0.4781,1.0,0.6,1.0,1.0,0.15454439177843432,0.046887400793650794,1.0,0.08950441919191922,0.0,0.0,0.0,1.0,0.02127659574468085,0.03428412521849674,0.008166753881039596,0.1564814814814815
39,5,1,3.0,8,0.4,0.02,False,2662,OPTIMAL,14.532,14.592000000000002,14.828000000000003,17.334,19.86800000000002,15.448000000000002,0.1594,3.1977,0.0016,0.0257,0.0017,0.1101,0.0473,0.0482,0.2,0.2,0.8,0.8,0.39714285714285713,0.14262820512820512,0.9875,0.3857142857142857,0.6233766233766234,0.8888888888888888,0.0,0.0,0.2,0.25,0.17555555555555555,0.45
40,5,4,0.12,2,0.02,0.02,False,79191,INTEGER_FEASIBLE,0.905,1.01524,1.01524,3.52384,7.373000000000016,1.01524,4.7011,603.0653,0.0082,0.0623,0.0076,0.2479,0.1939,0.0240,0.2,0.0,0.6,0.0,0.4246031746031746,0.00684931506849315,0.12091387710199591,0.3233333333333333,0.0,0.0,0.0,0.7272727272727273,0.16666666666666666,1.0,0.009900990099009901,0.5333333333333333
41,5,4,0.12,2,0.4,0.02,False,11592,OPTIMAL,0.096,0.096,0.096,0.88096,0.438,0.096,0.6819,2.7199,0.0081,0.0369,0.0078,0.0347,0.1458,0.0122,0.0,0.0,0.4,0.0,0.2,0.047619047619047616,0.125,0.2,1.0,1.0,0.0,1.0,1.0,1.0,0.16666666666666666,1.0
42,5,4,0.12,8,0.02,0.02,False,104328,INTEGER_FEASIBLE,2.646,2.7066,2.81744,30.815360000000002,26.28000000000012,2.9809200000000002,6.4423,604.5215,0.0081,0.2213,0.0076,0.6274,0.1995,0.0962,0.2,0.0,1.0,0.6,0.25774511946386947,0.005585569158603269,0.2302314814814815,0.33108465608465604,0.0,0.0,0.0,0.9375,0.125,0.3333333333333333,0.004787203284471043,0.3233333333333333
43,5,4,0.12,8,0.4,0.02,False,13125,OPTIMAL,0.197,0.20132,0.20132,1.0336,1.1679999999999997,0.2204,0.7700,21.7884,0.0079,0.0372,0.0079,0.0442,0.2175,0.0379,0.0,0.0,0.8,0.0,0.225,0.02631578947368421,0.375,0.2,0.5,1.0,0.0,1.0,0.5,1.0,0.0799034299034299,0.8
44,5,4,3.0,2,0.02,0.02,False,230241,INTEGER_FEASIBLE,45.191979,46.0676,46.50559999999999,549.7190400000003,163.52000000000078,46.50559999999999,14.4889,602.2218,0.0058,0.3443,0.0054,0.3218,0.1337,0.0559,0.2,0.8,1.0,0.2,0.19886170154336244,0.05663206057227796,1.0,0.2471717171717171,0.0,0.0,0.0,0.9866666666666667,0.058823529411764705,0.12228116710875332,0.003294391672777526,0.6153846153846153
45,5,4,3.0,2,0.4,0.02,False,16478,INTEGER_FEASIBLE,1.847,2.028,2.1167999999999996,59.90528,11.095999999999995,2.412,0.9847,600.5210,0.0057,0.0600,0.0053,0.0425,0.1990,0.0375,0.0,0.2,0.6,0.2,0.5833333333333334,0.052406983642681586,1.0,0.75,0.0,0.0,0.0,0.2857142857142857,0.5,0.35666666666666663,0.02631578947368421,0.9
46,5,4,3.0,8,0.02,0.02,False,343706,INTEGER_FEASIBLE,24.893,24.893,29.369999999999997,326.5484800000002,364.8080000000004,28.136799999999994,21.7724,662.9242,0.0054,0.1225,0.0051,0.8490,0.1706,0.1457,0.6,0.8,1.0,0.6,0.253030303030303,0.06643023897028473,1.0,0.4428571428571429,0.0,0.0,0.0,0.6585365853658537,0.09090909090909091,0.051687552213868004,0.002015648295861416,0.3333333333333333
47,5,4,3.0,8,0.4,0.02,False,25267,INTEGER_FEASIBLE,13.091,13.1064,13.928,24.806400000000004,52.10800000000012,14.812000000000003,1.5056,601.6980,0.0061,0.0357,0.0053,0.3379,0.2192,0.1182,0.2,0.0,1.0,0.4,0.39166666666666666,0.040257648953301126,1.0,0.7041666666666667,0.0,0.5,0.0,0.7631578947368421,0.14285714285714285,0.5,0.012855498931448297,0.6
48,15,1,0.12,2,0.02,0.02,False,183000,OPTIMAL,42.657984,42.720000000000006,42.72000000000001,43.20000000000001,44.63999999999957,42.72000000000001,10.4725,532.4326,0.0038,0.8329,0.0038,1.0174,0.1091,0.0708,0.2,0.13333333333333333,0.8666666666666667,0.9333333333333333,0.06915695574969793,0.003013035385652665,0.1289784946236559,0.05771160694821348,0.0,0.0,0.0,0.9797752808988764,0.058823529411764705,0.1,0.002150537634408602,0.31
49,15,1,0.12,2,0.4,0.02,False,27450,INTEGER_FEASIBLE,2.539728,2.592,2.5920000000000005,3.456,2.688000000000001,2.592,1.5386,602.7412,0.0037,0.0817,0.0038,0.0891,0.1091,0.0574,0.0,0.0,0.26666666666666666,0.4,0.11787878787878787,0.0033112582781456954,0.09475534386248673,0.07305764411027568,0.8888888888888888,1.0,0.0,0.2962962962962963,0.3333333333333333,1.0,0.03571428571428571,0.611111111111111
50,15,1,0.12,8,0.02,0.02,False,254248,ABORTED,58.84992,58.94400000000001,,73.296,131.61600000000143,58.94400000000002,14.7754,610.6816,0.0037,0.9694,0.0038,2.2483,0.1093,0.0999,,0.2,1.0,1.0,,0.0029733867568269476,0.33146122052030147,0.044624668995465015,,0.0,0.0,0.9609120521172638,,0.07692307692307693,0.0012921244858648134,0.3066666666666667
