num,apps,num_families,total_secs,pre_allocation_secs,allocation_secs,partial_ilp_seconds,pre_allocation_lower_bound_cost,cost,min_pred_cost,num_vms,failed,timed_out,problem_file,solution_file,correct,cost-min_pred_cost,N,M,V,C
184,58,4,602.8625717163086,601.9291677474976,0.2961072921752929,600.7011442184448,10.083,13.84352,7.230440612918963,12,False,True,out_scaling/20250319_121751/problem_e_184_a_58_f_4.json,out_scaling/20250319_121751/sol_e_184_a_58_f_4.json,False,6.6130793870810365,58,105,10.468449128245798,162.66956881923517
185,36,2,0.6577596664428711,0.5173466205596924,0.1283750534057617,0.0720160007476806,24.102,26.01424,22.592008697863896,7,False,False,out_scaling/20250319_121751/problem_e_185_a_36_f_2.json,out_scaling/20250319_121751/sol_e_185_a_36_f_2.json,True,3.4222313021361046,36,57,18.025064885828805,544.5886335097342
186,88,4,602.8577008247375,602.5097467899323,0.3242192268371582,600.7030436992645,12.758,16.9404,9.573850261825532,12,False,True,out_scaling/20250319_121751/problem_e_186_a_88_f_4.json,out_scaling/20250319_121751/sol_e_186_a_88_f_4.json,False,7.366549738174468,88,105,14.927456018037393,258.9273606007041
187,16,3,0.8252167701721191,0.73455810546875,0.086648941040039,0.3923428058624267,8.12,9.692799999999998,7.264439451382792,8,False,False,out_scaling/20250319_121751/problem_e_187_a_16_f_3.json,out_scaling/20250319_121751/sol_e_187_a_16_f_3.json,True,2.4283605486172064,16,75,6.978794816772468,94.83039917490672
188,79,2,1.6751482486724854,1.1480164527893066,0.5047187805175781,0.2954182624816894,35.181,45.207999999999984,32.44824327890813,12,False,False,out_scaling/20250319_121751/problem_e_188_a_79_f_2.json,out_scaling/20250319_121751/sol_e_188_a_79_f_2.json,True,12.759756721091854,79,51,31.658377725259538,747.576599232512
189,93,4,603.1681318283081,602.7348701953888,0.4078876972198486,600.7410423755646,17.146,21.0624,13.73958591972987,13,False,True,out_scaling/20250319_121751/problem_e_189_a_93_f_4.json,out_scaling/20250319_121751/sol_e_189_a_93_f_4.json,False,7.322814080270129,93,105,19.76185939961227,345.7523907969093
190,53,1,1.314368486404419,0.3753700256347656,0.9090957641601562,0.0738697052001953,71.10199999999999,81.50399999999998,69.54762542243118,23,False,False,out_scaling/20250319_121751/problem_e_190_a_53_f_1.json,out_scaling/20250319_121751/sol_e_190_a_53_f_1.json,True,11.956374577568795,53,24,71.02962755999933,1801.4563669294673
191,81,3,12.179096698760986,11.743490219116213,0.4150481224060058,10.449858665466309,18.698757,21.924,14.765045011190772,10,False,False,out_scaling/20250319_121751/problem_e_191_a_81_f_3.json,out_scaling/20250319_121751/sol_e_191_a_81_f_3.json,True,7.158954988809228,81,78,16.427323660806003,245.79584943589686
192,14,4,52.3368706703186,52.212352991104126,0.1208395957946777,51.78903770446777,2.8588509,4.42516,2.169932919039609,9,False,False,out_scaling/20250319_121751/problem_e_192_a_14_f_4.json,out_scaling/20250319_121751/sol_e_192_a_14_f_4.json,True,2.255227080960391,14,105,3.0388004235096555,49.200771472397925
193,93,2,1.7399723529815674,1.2395696640014648,0.4727327823638916,0.1732058525085449,38.765,45.30623999999999,35.5971780391442,11,False,False,out_scaling/20250319_121751/problem_e_193_a_93_f_2.json,out_scaling/20250319_121751/sol_e_193_a_93_f_2.json,True,9.709061960855792,93,54,30.563496576342708,841.5386035527818
194,74,4,79.53009557723999,79.2216169834137,0.2855303287506103,77.63779997825623,13.257706,15.84848,9.997143438833554,12,False,False,out_scaling/20250319_121751/problem_e_194_a_74_f_4.json,out_scaling/20250319_121751/sol_e_194_a_74_f_4.json,True,5.8513365611664465,74,105,13.968166842960672,246.53881608640762
195,92,2,2.0914065837860107,1.385091781616211,0.6807563304901123,0.3736639022827148,54.878539,70.33583999999999,49.591436076303744,14,False,False,out_scaling/20250319_121751/problem_e_195_a_92_f_2.json,out_scaling/20250319_121751/sol_e_195_a_92_f_2.json,True,20.744403923696247,92,54,31.80386547646629,500.7763560583311
196,78,3,34.71353077888489,34.31616187095642,0.377126932144165,33.059340476989746,17.435,21.3592,15.385656990021255,9,False,False,out_scaling/20250319_121751/problem_e_196_a_78_f_3.json,out_scaling/20250319_121751/sol_e_196_a_78_f_3.json,True,5.973543009978746,78,75,22.09723113190681,366.91029433209263
197,48,4,211.55180072784424,211.2753911018372,0.2615365982055664,210.22083973884585,8.9596712,11.6136,6.514324406271193,12,False,False,out_scaling/20250319_121751/problem_e_197_a_48_f_4.json,out_scaling/20250319_121751/sol_e_197_a_48_f_4.json,True,5.099275593728807,48,105,9.429934265753065,155.96391383074015
198,14,3,3.7042794227600098,3.60617995262146,0.0940842628479003,3.2967798709869385,3.29628,4.52416,2.216921877739826,6,False,False,out_scaling/20250319_121751/problem_e_198_a_14_f_3.json,out_scaling/20250319_121751/sol_e_198_a_14_f_3.json,True,2.3072381222601743,14,81,2.316458397027775,42.020498786574976
199,73,2,1.5743613243103027,1.022472620010376,0.5332756042480469,0.1810982227325439,42.532,55.20320000000001,38.58979156754302,13,False,False,out_scaling/20250319_121751/problem_e_199_a_73_f_2.json,out_scaling/20250319_121751/sol_e_199_a_73_f_2.json,True,16.613408432456993,73,57,26.9251710923395,504.7869897872464
200,31,2,0.7877292633056641,0.5532135963439941,0.2251472473144531,0.1497833728790283,21.464,26.4352,19.962296346758624,6,False,False,out_scaling/20250319_121751/problem_e_200_a_31_f_2.json,out_scaling/20250319_121751/sol_e_200_a_31_f_2.json,True,6.472903653241374,31,54,12.140626725312465,285.1240703414044
201,88,2,1.9927499294281008,1.3542075157165527,0.611309289932251,0.4060823917388916,40.8,48.8496,37.98361222203086,15,False,False,out_scaling/20250319_121751/problem_e_201_a_88_f_2.json,out_scaling/20250319_121751/sol_e_201_a_88_f_2.json,True,10.865987777969146,88,51,36.995637937155216,692.1405532593855
202,44,1,1.013217210769653,0.3206164836883545,0.6732237339019775,0.0610296726226806,98.015,105.58800000000002,96.31054708955412,24,False,False,out_scaling/20250319_121751/problem_e_202_a_44_f_1.json,out_scaling/20250319_121751/sol_e_202_a_44_f_1.json,True,9.277452910445902,44,24,47.85000500149709,1035.7042548085533
203,83,3,1.9866712093353271,1.6126575469970703,0.3564543724060058,0.2527711391448974,25.57,30.34528,22.656440664386547,9,False,False,out_scaling/20250319_121751/problem_e_203_a_83_f_3.json,out_scaling/20250319_121751/sol_e_203_a_83_f_3.json,True,7.6888393356134515,83,81,21.09378620052061,423.8623924946
204,87,2,2.315122604370117,1.2922627925872805,0.992058277130127,0.4287309646606445,63.17,84.396,59.34821790827488,25,False,False,out_scaling/20250319_121751/problem_e_204_a_87_f_2.json,out_scaling/20250319_121751/sol_e_204_a_87_f_2.json,True,25.047782091725118,87,48,72.38563695964787,940.0599218638104
