num,apps,num_families,total_secs,pre_allocation_secs,allocation_secs,partial_ilp_seconds,pre_allocation_lower_bound_cost,cost,min_pred_cost,num_vms,failed,timed_out,problem_file,solution_file
294,10,3,3.4216768741607666,3.3151159286499023,0.10054230690002441,3.065342903137207,3.6147199999999997,4.68928,2.9565908023654317,7,False,False,out_scaling/20250319_121751/problem_e_294_a_10_f_3.json,out_scaling/20250319_121751/sol_e_294_a_10_f_3.json
295,66,2,1.635495901107788,1.1048378944396973,0.5148694515228271,0.40566110610961914,51.917,67.33296,47.53242151486955,13,False,False,out_scaling/20250319_121751/problem_e_295_a_66_f_2.json,out_scaling/20250319_121751/sol_e_295_a_66_f_2.json
296,13,1,0.26662516593933105,0.17552518844604492,0.08708381652832031,0.07301831245422363,8.2156716,10.3392,7.700564868505345,3,False,False,out_scaling/20250319_121751/problem_e_296_a_13_f_1.json,out_scaling/20250319_121751/sol_e_296_a_13_f_1.json
297,76,4,140.93693113327026,140.63058257102966,0.28705787658691406,139.04733204841614,10.313889,13.44224,7.517317720462481,12,False,False,out_scaling/20250319_121751/problem_e_297_a_76_f_4.json,out_scaling/20250319_121751/sol_e_297_a_76_f_4.json
298,49,2,1.2121250629425049,0.9157273769378662,0.2823476791381836,0.39261412620544434,29.041879,33.7264,26.873468259133308,10,False,False,out_scaling/20250319_121751/problem_e_298_a_49_f_2.json,out_scaling/20250319_121751/sol_e_298_a_49_f_2.json
299,71,2,11.260428428649902,10.751735210418701,0.4887113571166992,10.01279354095459,26.448,31.6864,24.005575668737404,11,False,False,out_scaling/20250319_121751/problem_e_299_a_71_f_2.json,out_scaling/20250319_121751/sol_e_299_a_71_f_2.json
300,2,3,0.10458946228027344,0.092803955078125,0.011785507202148438,0.03842449188232422,0.2736,0.3052,0.09317319664441759,2,False,False,out_scaling/20250319_121751/problem_e_300_a_2_f_3.json,out_scaling/20250319_121751/sol_e_300_a_2_f_3.json
301,51,2,4.164453744888306,3.933098077774048,0.2180337905883789,3.343106508255005,12.889781,15.829600000000001,10.73361929019131,7,False,False,out_scaling/20250319_121751/problem_e_301_a_51_f_2.json,out_scaling/20250319_121751/sol_e_301_a_51_f_2.json
302,64,2,1.3951513767242432,1.0670437812805176,0.3127939701080322,0.35146141052246094,34.383,39.16448,31.75945158535587,8,False,False,out_scaling/20250319_121751/problem_e_302_a_64_f_2.json,out_scaling/20250319_121751/sol_e_302_a_64_f_2.json
303,8,3,0.5697903633117676,0.48759937286376953,0.08018374443054199,0.28048086166381836,2.12648,3.2490399999999995,1.666223614874115,6,False,False,out_scaling/20250319_121751/problem_e_303_a_8_f_3.json,out_scaling/20250319_121751/sol_e_303_a_8_f_3.json
304,82,2,1.9212398529052734,1.2464919090270996,0.6474897861480713,0.4011509418487549,71.816748,85.49279999999999,68.03862739995037,18,False,False,out_scaling/20250319_121751/problem_e_304_a_82_f_2.json,out_scaling/20250319_121751/sol_e_304_a_82_f_2.json
305,38,1,1.2533447742462158,0.41071105003356934,0.8250906467437744,0.18960285186767578,51.593707,75.39360000000002,49.93363842037158,23,False,False,out_scaling/20250319_121751/problem_e_305_a_38_f_1.json,out_scaling/20250319_121751/sol_e_305_a_38_f_1.json
306,4,4,0.3378458023071289,0.31223297119140625,0.025612831115722656,0.1401658058166504,0.80332,0.8981199999999999,0.6266803572330341,4,False,False,out_scaling/20250319_121751/problem_e_306_a_4_f_4.json,out_scaling/20250319_121751/sol_e_306_a_4_f_4.json
307,37,2,5.399967432022095,5.178874969482422,0.20931625366210938,4.71620774269104,10.255895,13.169920000000001,8.595725235401094,5,False,False,out_scaling/20250319_121751/problem_e_307_a_37_f_2.json,out_scaling/20250319_121751/sol_e_307_a_37_f_2.json
308,14,2,0.6318683624267578,0.47577714920043945,0.14798426628112793,0.278076171875,7.494,10.0156,6.873830552090213,8,False,False,out_scaling/20250319_121751/problem_e_308_a_14_f_2.json,out_scaling/20250319_121751/sol_e_308_a_14_f_2.json
309,55,3,12.802242279052734,12.620474576950073,0.16912293434143066,11.69381594657898,12.510875,14.581999999999999,10.48519100305688,8,False,False,out_scaling/20250319_121751/problem_e_309_a_55_f_3.json,out_scaling/20250319_121751/sol_e_309_a_55_f_3.json
310,83,3,56.536195039749146,56.130080699920654,0.38228559494018555,54.79492235183716,20.354,24.716880000000003,17.313766613087743,12,False,False,out_scaling/20250319_121751/problem_e_310_a_83_f_3.json,out_scaling/20250319_121751/sol_e_310_a_83_f_3.json
311,7,1,0.17013144493103027,0.1372833251953125,0.028832674026489258,0.055457115173339844,16.132,16.278999999999996,15.868839550009017,7,False,False,out_scaling/20250319_121751/problem_e_311_a_7_f_1.json,out_scaling/20250319_121751/sol_e_311_a_7_f_1.json
312,70,3,50.345266580581665,49.94591760635376,0.38150954246520996,48.83962845802307,25.781753,33.57696,22.835990469437,11,False,False,out_scaling/20250319_121751/problem_e_312_a_70_f_3.json,out_scaling/20250319_121751/sol_e_312_a_70_f_3.json
313,30,4,28.263629913330078,28.072702646255493,0.18088746070861816,27.347885131835938,5.8069407,7.619199999999999,5.02984379342691,11,False,False,out_scaling/20250319_121751/problem_e_313_a_30_f_4.json,out_scaling/20250319_121751/sol_e_313_a_30_f_4.json
314,59,1,1.36165189743042,0.4416677951812744,0.8981719017028809,0.09997677803039551,90.096,108.82719999999998,87.64479820489937,17,False,False,out_scaling/20250319_121751/problem_e_314_a_59_f_1.json,out_scaling/20250319_121751/sol_e_314_a_59_f_1.json
315,96,3,107.5203857421875,107.12396311759949,0.3730943202972412,105.64438438415527,19.086,25.298080000000002,15.064613880562849,11,False,False,out_scaling/20250319_121751/problem_e_315_a_96_f_3.json,out_scaling/20250319_121751/sol_e_315_a_96_f_3.json
316,76,2,1.8840982913970947,1.2814550399780273,0.5800802707672119,0.4561583995819092,38.711,47.60399999999999,36.22618818857868,13,False,False,out_scaling/20250319_121751/problem_e_316_a_76_f_2.json,out_scaling/20250319_121751/sol_e_316_a_76_f_2.json
317,81,3,602.1959199905396,601.7308130264282,0.4415426254272461,600.4891057014465,18.991,25.884400000000003,15.516820822621488,13,False,True,out_scaling/20250319_121751/problem_e_317_a_81_f_3.json,out_scaling/20250319_121751/sol_e_317_a_81_f_3.json
318,48,3,7.927520751953125,7.641895055770874,0.27357912063598633,6.820815801620483,17.833,23.218719999999998,15.649184318012779,10,False,False,out_scaling/20250319_121751/problem_e_318_a_48_f_3.json,out_scaling/20250319_121751/sol_e_318_a_48_f_3.json
319,48,4,41.103434562683105,40.92050337791443,0.17151618003845215,39.85317015647888,6.017,7.08456,4.331726714032912,11,False,False,out_scaling/20250319_121751/problem_e_319_a_48_f_4.json,out_scaling/20250319_121751/sol_e_319_a_48_f_4.json
320,52,3,24.0463547706604,23.821239709854126,0.20930695533752441,22.94067668914795,13.9,16.94576,11.074241234707975,9,False,False,out_scaling/20250319_121751/problem_e_320_a_52_f_3.json,out_scaling/20250319_121751/sol_e_320_a_52_f_3.json
321,33,1,0.7020149230957031,0.27265119552612305,0.41532421112060547,0.07175683975219727,53.071,64.6256,50.97615287494499,12,False,False,out_scaling/20250319_121751/problem_e_321_a_33_f_1.json,out_scaling/20250319_121751/sol_e_321_a_33_f_1.json
